297.85,-138.09
381.62,-106.66
435.33,-77.67
483.86,-44.25
543.98,-8.54
579.68,6.56
558.01,-11.29
502.78,-46.39
452.58,-77.67
406.49,-101.17
346.68,-121.31
280.46,-134.43
230.41,-128.78
200.96,-102.08
169.07,-71.87
108.64,-60.42
21.36,-70.8
-59.97,-83.31
-109.41,-77.82
-138.7,-54.63
-172.88,-31.13
-212.25,-19.68
-248.57,-26.86
-292.05,-57.07
-343.93,-96.59
-372.92,-112
-365.45,-97.2
-357.21,-91.55
-369.11,-118.1
-370.18,-149.69
-335.54,-158.84
-280.61,-149.54
-219.27,-130
-149.54,-104.98
-79.19,-92.32
-14.8,-102.84
55.24,-118.71
132.14,-120.85
196.84,-114.44
241.85,-115.05
279.24,-129.24
310.67,-151.21
330.51,-168
354.92,-162.96
403.9,-129.39
463.71,-80.26
499.57,-41.81
499.88,-32.04
473.48,-48.07
423.89,-74.16
359.04,-91.55
307.77,-82.09
289.61,-42.57
283.05,4.43
246.89,25.79
160.52,6.71
37.23,-40.13
-88.96,-92.32
-193.79,-136.26
-277.25,-167.39
-339.2,-177
-363.16,-155.03
-348.51,-111.54
-338.29,-84.08
-377.2,-104.83
-455.63,-164.03
-519.26,-216.06
-526.58,-222.02
-478.52,-183.87
-402.37,-135.04
-322.88,-102.84
-249.18,-88.65
-183.11,-83.77
-127.41,-85.45
-83.77,-99.33
-47.61,-131.38
-3.51,-168.91
67.29,-176.85
164.64,-138.55
260.93,-89.11
329.28,-72.94
373.99,-79.8
424.19,-64.09
502.01,-10.22
599.21,58.14
679.17,112.92
703.43,134.28
669.56,110.63
613.86,63.17
571.14,38.15
538.79,50.81
491.64,66.07
416.56,47.91
323.49,4.27
231.02,-30.82
141.6,-45.47
34.64,-67.29
-100.4,-126.19
-235.44,-205.99
-335.39,-259.86
-400.7,-271.76
-447.54,-265.35
-476.23,-261.54
-490.26,-262.15
-511.47,-267.33
-544.74,-279.54
-560,-286.1
-534.97,-268.1
-480.04,-223.54
-414.28,-173.34
-340.88,-140.84
-258.33,-128.02
-174.41,-119.17
-103.15,-106.81
-48.07,-99.33
13.89,-98.11
111.69,-83.92
235.9,-46.69
339.81,-9.31
400.24,1.37
446.47,-0.61
507.35,16.94
566.25,48.83
597.99,59.05
609.89,38.45
615.69,12.36
605.01,-8.24
572.51,-32.81
539.4,-54.02
517.58,-53.25
485.99,-36.16
431.21,-23.35
373.08,-14.95
328.67,-1.22
277.86,5.19
190.12,-18.01
73.55,-62.26
-24.72,-89.72
-76.9,-82.55
-112.61,-66.68
-171.36,-73.39
-238.8,-91.55
-278.47,-96.74
-297.85,-94.6
-322.27,-98.11
-330.51,-84.99
-291.44,-38.91
-236.82,1.83
-223.39,-8.7
-244.45,-57.53
-249.02,-98.88
-225.52,-123.75
-203.55,-156.4
-185.7,-195.31
-137.79,-204.93
-41.66,-172.27
76.6,-132.75
174.71,-122.07
239.87,-131.38
298,-125.73
373.38,-97.2
444.79,-75.53
477.6,-84.69
484.77,-106.51
509.34,-108.49
556.34,-86.21
592.35,-60.58
595.25,-50.35
571.59,-59.05
533.91,-75.38
485.53,-84.99
425.42,-88.35
361.48,-92.62
311.58,-89.57
276.03,-71.56
222.02,-56.15
130.16,-62.41
29.91,-80.41
-45.47,-94.45
-108.18,-108.34
-179.29,-125.27
-245.06,-135.65
-285.03,-137.18
-306.09,-138.09
-320.59,-134.12
-318.15,-112.76
-288.39,-76.14
-247.96,-45.17
-224.91,-39.52
-217.74,-57.22
-196.23,-74.62
-147.86,-78.74
-96.89,-83.77
-64.24,-104.06
-29.75,-122.38
45.32,-111.08
162.81,-74.16
277.25,-42.11
348.05,-35.1
376.13,-55.08
387.42,-96.74
405.12,-137.94
447.54,-143.43
519.41,-104.06
595.09,-54.17
635.53,-28.84
630.65,-27.92
608.06,-31.74
590.52,-31.28
565.64,-33.11
508.88,-48.07
420.99,-79.04
325.16,-117.49
240.02,-148.16
170.29,-160.22
110.63,-155.18
51.73,-142.82
-9.31,-132.45
-70.65,-128.33
-136.41,-130.77
-210.11,-137.18
-273.9,-139.92
-302.43,-133.82
-301.67,-126.04
-297.7,-119.63
-289.15,-99.49
-254.36,-55.54
-198.36,-7.17
-152.59,18.77
-134.12,13.58
-132.45,-17.24
-127.87,-58.9
-104.98,-89.11
-61.49,-97.2
-2.59,-92.16
79.19,-78.43
188.75,-56.15
293.88,-40.13
359.8,-41.05
405.73,-40.13
475.16,-16.63
559.54,14.8
611.27,24.11
614.32,2.9
600.13,-29.14
601.5,-45.47
616,-39.98
617.52,-35.71
590.06,-53.25
542.14,-82.09
487.06,-101.32
